NVIS_ID,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP,MAPUNT_IDE
2063,WDB,Other,(WDB) Eucalyptus delegatensis forest with broad-leaf shrubs,Wet eucalypt forest and woodland,2063
2064,WDR,Other,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland,2064
2065,WDR,Other,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland,2065
2066,WDU,Other,(WDU) Eucalyptus delegatensis wet forest (undifferentiated),Wet eucalypt forest and woodland,2066
2067,WOU,Other,(WOU) Eucalyptus obliqua wet forest (undifferentiated),Wet eucalypt forest and woodland,2067
2068,WBR,Woodland,(WBR) Eucalyptus brookeriana wet forest,Wet eucalypt forest and woodland,2068
2069,WBR,Woodland,(WBR) Eucalyptus brookeriana wet forest,Wet eucalypt forest and woodland,2069
2070,WDL,Woodland,(WDL) Eucalyptus delegatensis forest over Leptospermum,Wet eucalypt forest and woodland,2070
2071,WDB,Woodland,(WDB) Eucalyptus delegatensis forest with broad-leaf shrubs,Wet eucalypt forest and woodland,2071
2072,WDR,Woodland,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland,2072
2073,WDU,Woodland,(WDU) Eucalyptus delegatensis wet forest (undifferentiated),Wet eucalypt forest and woodland,2073
2074,WOU,Woodland,(WOU) Eucalyptus obliqua wet forest (undifferentiated),Wet eucalypt forest and woodland,2074
2075,DSC,Forest,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland,2075
2076,DSC,Other,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland,2076
2077,DSC,Woodland,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland,2077
2078,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2078
2079,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2079
2080,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2080
2081,DAD,Forest,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2081
2082,DAD,Forest,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2082
2083,DAZ,Forest,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland,2083
2084,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2084
2085,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2085
2086,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2086
2087,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2087
2088,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2088
2089,DDE,Forest,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2089
2090,DDE,Forest,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2090
2091,DNF,Forest,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland,2091
2092,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2092
2093,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2093
2094,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2094
2095,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2095
2096,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2096
2097,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2097
2098,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2098
2099,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2099
2100,DPO,Forest,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland,2100
2101,DPD,Forest,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland,2101
2102,DRO,Forest,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland,2102
2103,DSG,Forest,(DSG) Eucalyptus sieberi forest and woodland on granite,Dry eucalypt forest and woodland,2103
2104,DSO,Forest,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland,2104
2105,DTD,Forest,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland,2105
2106,DTD,Forest,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland,2106
2107,DTG,Forest,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland,2107
2108,DTO,Forest,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland,2108
2109,DVF,Forest,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland,2109
