Veg ID,Map Unit ID,Strata,No. Growth Forms,No. Taxa,Mapunit Identifier,Spatial Mix,Data Set Name,Stratum ID,Sub Stratum Rank,Cover Type,Cover Mean Value,Height Type,Height Mean Value,L6 Sub Association,L2 Structural Formation,L3 Broad Floristic Formation,L4 Sub Formation,L5 Association,Cover Code,Height Class,Dominant Stratum Flag,Source Code,Source Description,Environmental Description,Common Language Description,No. Strata,Nvis ID,Data Set Id,Record Type,Growth Form Type
376,1960,M1,2,5,32000007,pure,NTVEGMAP1750/2000,6471,-,Percentage Cover (numerical data),8,Average Height (general vegetation mapping),4,"U1+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata+/-Corymbia jacobsiana+/-Eucalyptus polycarpa var. polycarpa\^tree\7\i;M1 ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta+/-Calytrix exstipulata+/-Persoonia falcata\shrub,^palm\4\r;G1 ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus,Sorghum plumosum,Leptopus spp.\^tussock grass\2\c",Woodland,Eucalyptus woodland,Eucalyptus mid woodland\Livistona unknown palm\Eriachne mid tussock grassland,"U+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata\^tree\7\i;M ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta\shrub,^palm\4\r;G ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus\^tussock grass\2\c",r,4,N,VEGMAP7,Unknown,Low to steep hills interspersed with sandy plains. Main soil types are shallow gravelly sands with deeper sands on the plains,-,3,3527,38,-,Shrub
376,1960,G1,1,5,32000007,pure,NTVEGMAP1750/2000,6472,-,Percentage Cover (numerical data),45,Average Height (general vegetation mapping),0,"U1+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata+/-Corymbia jacobsiana+/-Eucalyptus polycarpa var. polycarpa\^tree\7\i;M1 ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta+/-Calytrix exstipulata+/-Persoonia falcata\shrub,^palm\4\r;G1 ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus,Sorghum plumosum,Leptopus spp.\^tussock grass\2\c",Woodland,Eucalyptus woodland,Eucalyptus mid woodland\Livistona unknown palm\Eriachne mid tussock grassland,"U+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata\^tree\7\i;M ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta\shrub,^palm\4\r;G ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus\^tussock grass\2\c",c,2,N,VEGMAP7,Unknown,Low to steep hills interspersed with sandy plains. Main soil types are shallow gravelly sands with deeper sands on the plains,-,3,3527,38,-,Tussock grass
377,2357,U1,1,3,32200047,pure,NTVEGUNIT1750/2000,6473,1,Crown or Canopy Cover (numerical data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca,Sesbania formosa\^shrub\3\r;G1 ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora,Melaleuca acacioides,Halophila spp.\^tussock grass\1\i",Low open forest,Melaleuca low open forest,Melaleuca low open forest\Melaleuca mid sparse shrubland\Digitaria low open tussock grassland,"U+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca\^shrub\3\r;G ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora\^tussock grass\1\i",c,6,Y,MELA7,Unknown,"Low open forests, saline flat fringes",-,3,3528,37,-,Tree
377,2357,M1,1,4,32200047,pure,NTVEGUNIT1750/2000,6474,-,Crown or Canopy Cover (numerical data),8,Average Height (general vegetation mapping),1,"U1+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca,Sesbania formosa\^shrub\3\r;G1 ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora,Melaleuca acacioides,Halophila spp.\^tussock grass\1\i",Low open forest,Melaleuca low open forest,Melaleuca low open forest\Melaleuca mid sparse shrubland\Digitaria low open tussock grassland,"U+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca\^shrub\3\r;G ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora\^tussock grass\1\i",r,3,N,MELA7,Unknown,"Low open forests, saline flat fringes",-,3,3528,37,-,Shrub
377,2357,G1,1,5,32200047,pure,NTVEGUNIT1750/2000,6475,-,Percentage Cover (numerical data),27,Average Height (general vegetation mapping),0,"U1+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca,Sesbania formosa\^shrub\3\r;G1 ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora,Melaleuca acacioides,Halophila spp.\^tussock grass\1\i",Low open forest,Melaleuca low open forest,Melaleuca low open forest\Melaleuca mid sparse shrubland\Digitaria low open tussock grassland,"U+ ^Melaleuca acacioides,Melaleuca dealbata+/-Melaleuca nervosa\^tree\6\c;M1 ^Melaleuca acacioides,Thespesia populneoides,Atalaya hemiglauca\^shrub\3\r;G ^Digitaria spp.,Xerochloa imberbis,Vetiveria pauciflora\^tussock grass\1\i",i,1,N,MELA7,Unknown,"Low open forests, saline flat fringes",-,3,3528,37,-,Tussock grass
378,2605,M1,1,2,32000070,pure,NTVEGMAP1750/2000,6476,1,Foliage Cover (numerical data),5,Layer Height (general vegetation mapping),6,"M1+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei,Senna artemisioides subsp. alicia+/-Acacia kempeana\shrub\3\r;G1 Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus,Enneapogon polyphyllus,Aristida holathera\^tussock grass,sedge,forb\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Eriachne low open tussock grassland,"M+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei\shrub\3\r;G Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus\^tussock grass,sedge,forb\1\i",r,4,Y,Map unit 70,Unknown,"Rolling quartzite or sandstone ranges, skeletal soils",-,3,3529,38,-,Shrub
378,2605,M2,1,5,32000070,pure,NTVEGMAP1750/2000,6477,-,Percentage Cover (numerical data),4,Average Height (general vegetation mapping),1,"M1+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei,Senna artemisioides subsp. alicia+/-Acacia kempeana\shrub\3\r;G1 Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus,Enneapogon polyphyllus,Aristida holathera\^tussock grass,sedge,forb\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Eriachne low open tussock grassland,"M+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei\shrub\3\r;G Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus\^tussock grass,sedge,forb\1\i",r,3,N,Map unit 70,Unknown,"Rolling quartzite or sandstone ranges, skeletal soils",-,3,3529,38,-,Shrub
378,2605,G1,3,5,32000070,pure,NTVEGMAP1750/2000,6478,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei,Senna artemisioides subsp. alicia+/-Acacia kempeana\shrub\3\r;G1 Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus,Enneapogon polyphyllus,Aristida holathera\^tussock grass,sedge,forb\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Eriachne low open tussock grassland,"M+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei\shrub\3\r;G Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus\^tussock grass,sedge,forb\1\i",i,1,N,Map unit 70,Unknown,"Rolling quartzite or sandstone ranges, skeletal soils",-,3,3529,38,-,Sedge
378,2605,G1,3,5,32000070,pure,NTVEGMAP1750/2000,6478,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei,Senna artemisioides subsp. alicia+/-Acacia kempeana\shrub\3\r;G1 Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus,Enneapogon polyphyllus,Aristida holathera\^tussock grass,sedge,forb\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Eriachne low open tussock grassland,"M+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei\shrub\3\r;G Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus\^tussock grass,sedge,forb\1\i",i,1,N,Map unit 70,Unknown,"Rolling quartzite or sandstone ranges, skeletal soils",-,3,3529,38,-,Forb
378,2605,G1,3,5,32000070,pure,NTVEGMAP1750/2000,6478,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei,Senna artemisioides subsp. alicia+/-Acacia kempeana\shrub\3\r;G1 Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus,Enneapogon polyphyllus,Aristida holathera\^tussock grass,sedge,forb\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Eriachne low open tussock grassland,"M+ ^Acacia aneura+/-Corymbia opaca\^shrub\4\r;M2 Senna artemisioides subsp. helmsii,Eremophila gilesii,Eremophila latrobei subsp. latrobei\shrub\3\r;G Fimbristylis dichotoma,^Eriachne aristidea,Ptilotus obovatus\^tussock grass,sedge,forb\1\i",i,1,N,Map unit 70,Unknown,"Rolling quartzite or sandstone ranges, skeletal soils",-,3,3529,38,-,Tussock grass
