Veg ID,Map Unit ID,Strata,No. Growth Forms,No. Taxa,Mapunit Identifier,Spatial Mix,Data Set Name,Stratum ID,Sub Stratum Rank,Cover Type,Cover Mean Value,Height Type,Height Mean Value,L6 Sub Association,L2 Structural Formation,L3 Broad Floristic Formation,L4 Sub Formation,L5 Association,Cover Code,Height Class,Dominant Stratum Flag,Source Code,Source Description,Environmental Description,Common Language Description,No. Strata,Nvis ID,Data Set Id,Record Type,Growth Form Type
374,2206,M2,1,5,32000066,pure,NTVEGMAP1750/2000,6465,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),1,"M1+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca+/-Erythrina vespertilio\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura,Eremophila freelingii,Acacia tetragonophylla,Acacia kempeana\shrub\3\r;G1 ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla+/-Sida filiformis+/-Eragrostis eriopoda\^tussock grass,forb,fern\1\r",Tall open shrubland,Acacia tall open shrubland,Acacia tall open shrubland\Eriachne low sparse tussock grassland,"M+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura\shrub\3\r;G ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla\^tussock grass,forb,fern\1\r",r,3,N,Map unit 66,Unknown,"Sandstone or quartzite ranges, shallow, gravelly, sandy soils and extensive areas of bare rock",-,3,3524,38,-,Shrub
374,2206,G1,3,5,32000066,pure,NTVEGMAP1750/2000,6466,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca+/-Erythrina vespertilio\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura,Eremophila freelingii,Acacia tetragonophylla,Acacia kempeana\shrub\3\r;G1 ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla+/-Sida filiformis+/-Eragrostis eriopoda\^tussock grass,forb,fern\1\r",Tall open shrubland,Acacia tall open shrubland,Acacia tall open shrubland\Eriachne low sparse tussock grassland,"M+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura\shrub\3\r;G ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla\^tussock grass,forb,fern\1\r",r,1,N,Map unit 66,Unknown,"Sandstone or quartzite ranges, shallow, gravelly, sandy soils and extensive areas of bare rock",-,3,3524,38,-,Forb
374,2206,G1,3,5,32000066,pure,NTVEGMAP1750/2000,6466,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca+/-Erythrina vespertilio\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura,Eremophila freelingii,Acacia tetragonophylla,Acacia kempeana\shrub\3\r;G1 ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla+/-Sida filiformis+/-Eragrostis eriopoda\^tussock grass,forb,fern\1\r",Tall open shrubland,Acacia tall open shrubland,Acacia tall open shrubland\Eriachne low sparse tussock grassland,"M+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura\shrub\3\r;G ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla\^tussock grass,forb,fern\1\r",r,1,N,Map unit 66,Unknown,"Sandstone or quartzite ranges, shallow, gravelly, sandy soils and extensive areas of bare rock",-,3,3524,38,-,Fern
374,2206,G1,3,5,32000066,pure,NTVEGMAP1750/2000,6466,-,Percentage Cover (numerical data),10,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca+/-Erythrina vespertilio\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura,Eremophila freelingii,Acacia tetragonophylla,Acacia kempeana\shrub\3\r;G1 ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla+/-Sida filiformis+/-Eragrostis eriopoda\^tussock grass,forb,fern\1\r",Tall open shrubland,Acacia tall open shrubland,Acacia tall open shrubland\Eriachne low sparse tussock grassland,"M+ ^Acacia aneura,Acacia kempeana+/-Corymbia opaca\^shrub\4\i;M2 Eremophila latrobei subsp. latrobei,Acacia aneura\shrub\3\r;G ^Eriachne mucronata,Enneapogon polyphyllus,Cheilanthes lasiophylla\^tussock grass,forb,fern\1\r",r,1,N,Map unit 66,Unknown,"Sandstone or quartzite ranges, shallow, gravelly, sandy soils and extensive areas of bare rock",-,3,3524,38,-,Tussock grass
375,2475,M1,1,5,32000069,pure,NTVEGMAP1750/2000,6467,1,Foliage Cover (numerical data),8,Layer Height (general vegetation mapping),6,"M1+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei+/-Eremophila longifolia+/-Acacia pruinocarpa\^shrub\4\r;M2 Acacia kempeana,Eremophila latrobei subsp. latrobei,Eremophila longifolia+/-Acacia pruinocarpa+/-Acacia estrophiolata\shrub\3\r;G1 Aristida contorta,^Triodia pungens,Eragrostis cumingii,Tripogon loliiformis,Sclerolaena convexula\^hummock grass,tussock grass\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Triodia low open hummock grassland,"M+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei\^shrub\4\r;G Aristida contorta,^Triodia pungens,Eragrostis cumingii\^hummock grass,tussock grass\1\i",r,4,Y,Map unit 69,Unknown,Red earth soils,-,3,3526,38,-,Shrub
375,2475,M2,1,5,32000069,pure,NTVEGMAP1750/2000,6468,-,Percentage Cover (numerical data),8,Average Height (general vegetation mapping),2,"M1+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei+/-Eremophila longifolia+/-Acacia pruinocarpa\^shrub\4\r;M2 Acacia kempeana,Eremophila latrobei subsp. latrobei,Eremophila longifolia+/-Acacia pruinocarpa+/-Acacia estrophiolata\shrub\3\r;G1 Aristida contorta,^Triodia pungens,Eragrostis cumingii,Tripogon loliiformis,Sclerolaena convexula\^hummock grass,tussock grass\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Triodia low open hummock grassland,"M+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei\^shrub\4\r;G Aristida contorta,^Triodia pungens,Eragrostis cumingii\^hummock grass,tussock grass\1\i",r,3,N,Map unit 69,Unknown,Red earth soils,-,3,3526,38,-,Shrub
375,2475,G1,2,5,32000069,pure,NTVEGMAP1750/2000,6469,-,Percentage Cover (numerical data),25,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei+/-Eremophila longifolia+/-Acacia pruinocarpa\^shrub\4\r;M2 Acacia kempeana,Eremophila latrobei subsp. latrobei,Eremophila longifolia+/-Acacia pruinocarpa+/-Acacia estrophiolata\shrub\3\r;G1 Aristida contorta,^Triodia pungens,Eragrostis cumingii,Tripogon loliiformis,Sclerolaena convexula\^hummock grass,tussock grass\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Triodia low open hummock grassland,"M+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei\^shrub\4\r;G Aristida contorta,^Triodia pungens,Eragrostis cumingii\^hummock grass,tussock grass\1\i",i,1,N,Map unit 69,Unknown,Red earth soils,-,3,3526,38,-,Tussock grass
375,2475,G1,2,5,32000069,pure,NTVEGMAP1750/2000,6469,-,Percentage Cover (numerical data),25,Average Height (general vegetation mapping),0,"M1+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei+/-Eremophila longifolia+/-Acacia pruinocarpa\^shrub\4\r;M2 Acacia kempeana,Eremophila latrobei subsp. latrobei,Eremophila longifolia+/-Acacia pruinocarpa+/-Acacia estrophiolata\shrub\3\r;G1 Aristida contorta,^Triodia pungens,Eragrostis cumingii,Tripogon loliiformis,Sclerolaena convexula\^hummock grass,tussock grass\1\i",Tall sparse shrubland,Acacia tall sparse shrubland,Acacia tall sparse shrubland\Triodia low open hummock grassland,"M+ ^Acacia aneura,Acacia kempeana,Eremophila latrobei subsp. latrobei\^shrub\4\r;G Aristida contorta,^Triodia pungens,Eragrostis cumingii\^hummock grass,tussock grass\1\i",i,1,N,Map unit 69,Unknown,Red earth soils,-,3,3526,38,-,Hummock grass
376,1960,U1,1,5,32000007,pure,NTVEGMAP1750/2000,6470,1,Foliage Cover (numerical data),27,Layer Height (general vegetation mapping),17,"U1+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata+/-Corymbia jacobsiana+/-Eucalyptus polycarpa var. polycarpa\^tree\7\i;M1 ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta+/-Calytrix exstipulata+/-Persoonia falcata\shrub,^palm\4\r;G1 ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus,Sorghum plumosum,Leptopus spp.\^tussock grass\2\c",Woodland,Eucalyptus woodland,Eucalyptus mid woodland\Livistona unknown palm\Eriachne mid tussock grassland,"U+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata\^tree\7\i;M ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta\shrub,^palm\4\r;G ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus\^tussock grass\2\c",i,7,Y,VEGMAP7,Unknown,Low to steep hills interspersed with sandy plains. Main soil types are shallow gravelly sands with deeper sands on the plains,-,3,3527,38,-,Tree
376,1960,M1,2,5,32000007,pure,NTVEGMAP1750/2000,6471,-,Percentage Cover (numerical data),8,Average Height (general vegetation mapping),4,"U1+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata+/-Corymbia jacobsiana+/-Eucalyptus polycarpa var. polycarpa\^tree\7\i;M1 ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta+/-Calytrix exstipulata+/-Persoonia falcata\shrub,^palm\4\r;G1 ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus,Sorghum plumosum,Leptopus spp.\^tussock grass\2\c",Woodland,Eucalyptus woodland,Eucalyptus mid woodland\Livistona unknown palm\Eriachne mid tussock grassland,"U+ ^Eucalyptus tetrodonta,Callitris intratropica,Eucalyptus miniata\^tree\7\i;M ^Livistona humilis,Petalostigma pubescens,Eucalyptus tetrodonta\shrub,^palm\4\r;G ^Eriachne spp.,Schizachyrium fragile,Heteropogon triticeus\^tussock grass\2\c",r,4,N,VEGMAP7,Unknown,Low to steep hills interspersed with sandy plains. Main soil types are shallow gravelly sands with deeper sands on the plains,-,3,3527,38,-,Palm
