NVIS_ID,MVG,MVG_CHANGE_CODE,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP
2061,2,Both,WDL,Other,(WDL) Eucalyptus delegatensis forest over Leptospermum,Wet eucalypt forest and woodland
2062,2,Both,WDL,Other,(WDL) Eucalyptus delegatensis forest over Leptospermum,Wet eucalypt forest and woodland
2063,2,Both,WDB,Other,(WDB) Eucalyptus delegatensis forest with broad-leaf shrubs,Wet eucalypt forest and woodland
2064,2,Both,WDR,Other,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland
2065,2,Both,WDR,Other,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland
2066,2,No data,WDU,Other,(WDU) Eucalyptus delegatensis wet forest (undifferentiated),Wet eucalypt forest and woodland
2067,2,No data,WOU,Other,(WOU) Eucalyptus obliqua wet forest (undifferentiated),Wet eucalypt forest and woodland
2068,2,Both,WBR,Woodland,(WBR) Eucalyptus brookeriana wet forest,Wet eucalypt forest and woodland
2069,2,Both,WBR,Woodland,(WBR) Eucalyptus brookeriana wet forest,Wet eucalypt forest and woodland
2070,2,Both,WDL,Woodland,(WDL) Eucalyptus delegatensis forest over Leptospermum,Wet eucalypt forest and woodland
2071,2,Both,WDB,Woodland,(WDB) Eucalyptus delegatensis forest with broad-leaf shrubs,Wet eucalypt forest and woodland
2072,2,Both,WDR,Woodland,(WDR) Eucalyptus delegatensis forest over rainforest,Wet eucalypt forest and woodland
2073,2,No data,WDU,Woodland,(WDU) Eucalyptus delegatensis wet forest (undifferentiated),Wet eucalypt forest and woodland
2074,2,No data,WOU,Woodland,(WOU) Eucalyptus obliqua wet forest (undifferentiated),Wet eucalypt forest and woodland
2075,2,Both,DSC,Forest,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland
2076,2,Both,DSC,Other,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland
2077,2,Both,DSC,Woodland,(DSC) Eucalyptus amygdalina - Eucalyptus obliqua damp sclerophyll forest,Dry eucalypt forest and woodland
2078,3,Both,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2079,3,Both,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2080,3,Both,DGL,Forest,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2081,3,Both,DAD,Forest,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2082,3,Both,DAD,Forest,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2083,3,Both,DAZ,Forest,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland
2084,3,Both,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2085,3,Both,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2086,3,Both,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2087,3,Both,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2088,3,Both,DCR,Forest,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2089,3,Both,DDE,Forest,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2090,3,Both,DDE,Forest,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2091,3,Both,DNF,Forest,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland
2092,3,Both,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2093,3,Both,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2094,3,Both,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2095,3,Both,DOB,Forest,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2096,3,Both,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2097,3,Both,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2098,3,Both,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2099,3,Both,DOV,Forest,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2100,3,Both,DPO,Forest,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland
2101,3,Both,DPD,Forest,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland
2102,3,Both,DRO,Forest,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland
2103,3,Both,DSG,Forest,(DSG) Eucalyptus sieberi forest and woodland on granite,Dry eucalypt forest and woodland
2104,3,Both,DSO,Forest,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland
2105,3,Both,DTD,Forest,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland
2106,3,Both,DTD,Forest,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland
2107,3,Both,DTG,Forest,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland
2108,3,Both,DTO,Forest,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland
2109,3,Both,DVF,Forest,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland
2110,3,Both,DGL,Other,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2111,3,Both,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2112,3,Both,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2113,3,Both,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2114,3,Both,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2115,3,Both,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland
2116,3,Both,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland
2117,3,Both,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland
